Date,Return.i
31.05.2013,-0.014483345
07.06.2013,-0.015952873
14.06.2013,-0.021680538
21.06.2013,0.018442902
28.06.2013,0.020433067
05.07.2013,0.019505929
12.07.2013,0.006765744
19.07.2013,-0.006042106
26.07.2013,0.013418246
02.08.2013,-0.004740009
09.08.2013,-0.007950287
16.08.2013,-0.003018442
23.08.2013,-0.013325746
30.08.2013,0.023108155
06.09.2013,0.014909002
13.09.2013,0.002333037
20.09.2013,-0.009154563
27.09.2013,-0.006655748
04.10.2013,0.008473881
11.10.2013,0.01823374
18.10.2013,0.003322107
25.10.2013,0.013185277
01.11.2013,0.010292188
08.11.2013,0.004429147
15.11.2013,0.000260194
22.11.2013,0.000740241
29.11.2013,-0.016139037
06.12.2013,-0.020166903
13.12.2013,0.031623863
20.12.2013,0.013108616
27.12.2013,0.003219757
03.01.2014,0.004962221
10.01.2014,0.012248003
17.01.2014,-0.034569497
24.01.2014,0.002289864
31.01.2014,0.003671745
07.02.2014,0.021593285
14.02.2014,0.001940033
21.02.2014,0.006525264
28.02.2014,-0.00317627
07.03.2014,-0.028082354
14.03.2014,0.021353178
21.03.2014,0.007945083
28.03.2014,0.012570413
04.04.2014,-0.035519255
11.04.2014,0.02255323
18.04.2014,0.0014403
25.04.2014,0.011144463
02.05.2014,0.006015933
09.05.2014,0.004499595
16.05.2014,0.013507145
23.05.2014,0.009537668
30.05.2014,0.012032384
06.06.2014,0.000841014
13.06.2014,0.006756975
20.06.2014,-0.010869945
27.06.2014,0.016759998
04.07.2014,-0.020518103
11.07.2014,0.010701963
18.07.2014,0.006647621
25.07.2014,-0.028260224
01.08.2014,-0.007235764
08.08.2014,0.015526568
15.08.2014,0.025015996
22.08.2014,0.014498311
29.08.2014,0.017636583
05.09.2014,-0.009594808
12.09.2014,0.016380714
19.09.2014,-0.009253974
26.09.2014,-0.006349585
03.10.2014,-0.041483751
10.10.2014,-0.015340206
17.10.2014,0.037718816
24.10.2014,0.033309691
31.10.2014,0.006266174
07.11.2014,0.000708078
14.11.2014,0.023125294
21.11.2014,0.002219456
28.11.2014,0.014278208
05.12.2014,-0.054269122
12.12.2014,0.040803862
19.12.2014,0.013047712
26.12.2014,-0.005057571
02.01.2015,8.43E-05
09.01.2015,0.029058335
16.01.2015,0.043947284
23.01.2015,-0.020046644
30.01.2015,0.020740163
06.02.2015,0.012447417
13.02.2015,0.012351407
20.02.2015,0.018113822
27.02.2015,0.01211856
06.03.2015,0.015024674
13.03.2015,0.009985119
20.03.2015,-0.025700491
27.03.2015,0.001184079
03.04.2015,0.043892928
10.04.2015,-0.023155908
17.04.2015,0.011855619
24.04.2015,-0.035455086
01.05.2015,0.008510642
08.05.2015,-0.01142747
15.05.2015,0.0346579
22.05.2015,-0.010613412
29.05.2015,-0.023182216
05.06.2015,-0.005918521
12.06.2015,-0.004000964
19.06.2015,0.021516797
26.06.2015,-0.021294008
03.07.2015,0.004973728
10.07.2015,0.047490416
17.07.2015,-0.029873535
24.07.2015,0.004214128
31.07.2015,-0.000110901
07.08.2015,-0.016609335
14.08.2015,-0.071588154
21.08.2015,0.013171286
28.08.2015,-0.027062176
04.09.2015,0.00628916
11.09.2015,-0.005716331
18.09.2015,-0.005167923
25.09.2015,0.00038834
